6
0 0.000000000000e+00
6.081435330854e-07 -1.503073727027e-07 6.067807742837e-07
-1.823984789841e-06 -8.667655609261e-10 6.877804572324e-06
3.348257461456e-05 -1.439397044313e-05 1.518380040946e-04
-1.520332466345e-04 7.688422689778e-05 6.919365709996e-06
-5.568177113064e-06 -2.688585624628e-06 1.745491181769e-05
-8.082364005449e-06 5.884717033288e-05 1.682519865290e-05
6
34 1.020000000000e+00
5.480636933918e-07 -1.163695174958e-07 7.457589388580e-07
-1.846524610086e-06 -6.019684155949e-08 6.913787392160e-06
3.418661959465e-05 -1.464726137106e-05 1.551945136947e-04
-1.551803999941e-04 7.848368188031e-05 7.071793273925e-06
-5.766712073073e-06 -2.878672106011e-06 1.788249997522e-05
-8.275203808592e-06 6.060214825154e-05 1.712218795854e-05
6
35 1.050000000000e+00
4.933335330685e-07 -8.520906122323e-08 8.771831741501e-07
-1.867648909533e-06 -1.216650730471e-07 6.943923076670e-06
3.486828780280e-05 -1.488794125819e-05 1.584505724361e-04
-1.582174224846e-04 8.002785254791e-05 7.216624210715e-06
-5.962886774129e-06 -3.073056384255e-06 1.830026567044e-05
-8.463784451573e-06 6.234974910311e-05 1.740702859773e-05
6
36 1.080000000000e+00
4.442072014119e-07 -5.696609792153e-08 1.000602117719e-06
-1.887382043690e-06 -1.851920561296e-07 6.968466449132e-06
3.552795929345e-05 -1.511619327375e-05 1.616069329048e-04
-1.611455445744e-04 8.151734911602e-05 7.353616795842e-06
-6.156328961502e-06 -3.271450947969e-06 1.870801029053e-05
-8.648077050353e-06 6.408962835742e-05 1.768000068187e-05
6
37 1.110000000000e+00
4.008775336863e-07 -3.174933303163e-08 1.115657650756e-06
-1.905747338961e-06 -2.507016516559e-07 6.987660729818e-06
3.616607369701e-05 -1.533222332997e-05 1.646646473299e-04
-1.639662603429e-04 8.295291611276e-05 7.482551433810e-06
-6.346687579209e-06 -3.473575481203e-06 1.910556369716e-05
-8.828061647351e-06 6.582147830980e-05 1.794139581340e-05
6
38 1.140000000000e+00
3.634864026913e-07 -9.640840705945e-09 1.222067325067e-06
-1.922768054160e-06 -3.181191077224e-07 7.001743467773e-06
3.678312163107e-05 -1.553625667495e-05 1.676250347532e-04
-1.666812918672e-04 8.433541373812e-05 7.603229902422e-06
-6.533632719887e-06 -3.679158072375e-06 1.949278229271e-05
-9.003726058899e-06 6.754502558881e-05 1.819151294180e-05
6
39 1.170000000000e+00
3.321362833264e-07 9.299103514172e-09 1.319607505100e-06
-1.938468182781e-06 -3.873696103668e-07 7.010951186921e-06
3.737963644706e-05 -1.572853457992e-05 1.704896460458e-04
-1.692925527532e-04 8.566580046247e-05 7.715474632267e-06
-6.716855491708e-06 -3.887936067208e-06 1.986954712840e-05
-9.175064685610e-06 6.926002818684e-05 1.843065406864e-05
6
40 1.200000000000e+00
3.068994267624e-07 2.502736385232e-08 1.408103277692e-06
-1.952873093007e-06 -4.583774796913e-07 7.015522122736e-06
3.795618652096e-05 -1.590931069293e-05 1.732602300643e-04
-1.718021148521e-04 8.694511698413e-05 7.819127833063e-06
-6.896068156090e-06 -4.099656416978e-06 2.023576339546e-05
-9.342077473368e-06 7.096627271174e-05 1.865912075163e-05
6
41 1.230000000000e+00
2.878238856840e-07 3.751425038460e-08 1.487420641696e-06
-1.966009919699e-06 -5.310657309756e-07 7.015697549649e-06
3.851336845116e-05 -1.607884802854e-05 1.759387041931e-04
-1.742121804395e-04 8.817447136750e-05 7.914050314223e-06
-7.071004209068e-06 -4.314075895768e-06 2.059136037689e-05
-9.504769117611e-06 7.266357223185e-05 1.887721185424e-05
6
42 1.260000000000e+00
2.749390997050e-07 4.674092398684e-08 1.557456384625e-06
