6
0 0.000000000000e+00
-3.162763561608e-02 -4.187834495183e-02 7.929986168167e-02
5.225444814327e-02 -2.066602169658e-02 2.450989560154e-01
-2.369489991925e-01 1.201262284166e-01 1.190663416502e-02
-1.247049511073e-02 -9.486849791621e-03 2.968755292409e-02
-1.342100925505e-02 1.097445652957e-01 2.337020334423e-02
6
28 8.400000000000e-01
-7.910858486199e-02 4.364290178734e-02 1.626828088189e-01
-3.002504117006e-02 -4.461490701742e-02 7.150209322818e-02
5.085644495562e-02 -1.987240574041e-02 2.392195326453e-01
-2.302526120135e-01 1.167709941851e-01 1.157042560853e-02
-1.249921084369e-02 -9.868753214260e-03 2.920493568384e-02
-1.318616193222e-02 1.094834609621e-01 2.254001647029e-02
6
29 8.700000000000e-01
-7.675664519688e-02 4.244363953892e-02 1.598770891772e-01
-2.846626644222e-02 -4.722915352469e-02 6.409399680127e-02
4.944582941140e-02 -1.907469558320e-02 2.332236256393e-01
-2.234756787277e-01 1.133740560723e-01 1.121081288894e-02
-1.249920194565e-02 -1.023281107747e-02 2.869955718360e-02
-1.294570105122e-02 1.091876918699e-01 2.171977440746e-02
6
30 9.000000000000e-01
-7.365761993429e-02 4.085721415870e-02 1.559208700052e-01
-2.694814853781e-02 -4.972849717111e-02 5.705244569809e-02
4.802930907831e-02 -1.827594841038e-02 2.271401007543e-01
-2.166471248144e-01 1.099500031813e-01 1.082898053247e-02
-1.247094836734e-02 -1.057858093943e-02 2.817296511180e-02
-1.270020223825e-02 1.088589481832e-01 2.091087300249e-02
6
31 9.300000000000e-01
-6.991937591810e-02 3.893798319357e-02 1.509655771858e-01
-2.546766405124e-02 -5.212125710738e-02 5.035312104603e-02
4.661325431196e-02 -1.747898270914e-02 2.209967817453e-01
-2.097944484508e-01 1.065128341406e-01 1.042622172454e-02
-1.241517068438e-02 -1.090581318947e-02 2.762687618383e-02
-1.245024362934e-02 1.084990519164e-01 2.011448961492e-02
6
32 9.600000000000e-01
-6.564661328977e-02 3.673784181131e-02 1.451650802640e-01
-2.402159242691e-02 -5.441550379974e-02 4.397209352563e-02
4.520357804877e-02 -1.668628652853e-02 2.148201509683e-01
-2.029435604128e-01 1.030756762114e-01 1.000387927246e-02
-1.233272490910e-02 -1.121447501066e-02 2.706294701676e-02
-1.219640517371e-02 1.081100018911e-01 1.933170450483e-02
6
33 9.900000000000e-01
-6.093709445577e-02 3.430449523063e-02 1.386572165392e-01
-2.260620237772e-02 -5.661851416010e-02 3.788649634416e-02
4.380574165869e-02 -1.590012833054e-02 2.086352811947e-01
-1.961184247930e-01 9.965058116177e-02 9.563295083613e-03
-1.222455768116e-02 -1.150471983588e-02 2.648270933947e-02
-1.193927992069e-02 1.076939922180e-01 1.856360034717e-02
6
34 1.020000000000e+00
-5.587592747947e-02 3.168075780826e-02 1.315575421841e-01
-2.121789119754e-02 -5.873674484832e-02 3.207477426221e-02
4.242474527758e-02 -1.512260554219e-02 2.024655225924e-01
-1.893407068436e-01 9.624852454454e-02 9.105828952219e-03
-1.209173852090e-02 -1.177681801063e-02 2.588771595291e-02
-1.167948109022e-02 1.072533545670e-01 1.781125234595e-02
6
35 1.050000000000e+00
-5.053573158893e-02 2.890440820827e-02 1.239701382873e-01
-1.985401024584e-02 -6.077572239025e-02 2.651793160431e-02
4.106506457818e-02 -1.435554493097e-02 1.963321944681e-01
-1.826297433382e-01 9.287943225456e-02 8.632870358273e-03
-1.193547632332e-02 -1.203110824378e-02 2.527966730122e-02
-1.141762368422e-02 1.067904589153e-01 1.707564793849e-02
6
36 1.080000000000e+00
-4.498042302578e-02 2.600828644109e-02 1.159928815186e-01
-1.851305339623e-02 -6.273956836525e-02 2.120166153069e-02
3.973061675656e-02 -1.360045646381e-02 1.902546115682e-01
-1.760027315111e-01 8.955211401014e-02 8.145798130510e-03
-1.175706390190e-02 -1.226799240791e-02 2.466034808128e-02
-1.115428717505e-02 1.063076236668e-01 1.635760760808e-02
6
37 1.110000000000e+00
-3.926529820594e-02 2.302058123303e-02 1.077091884768e-01
-1.719452588940e-02 -6.463050882211e-02 1.611771119539e-02
3.842478140180e-02 -1.285861570918e-02 1.842501590725e-01
-1.694747608383e-01 8.627421052774e-02 7.645943774227e-03
-1.155780483745e-02 -1.248794991876e-02 2.403146111585e-02
-1.088998539142e-02 1.058070407616e-01 1.565771827611e-02
6
38 1.140000000000e+00
-3.343414685552e-02 1.996488297870e-02 9.918276867122e-02
-1.589879107216e-02 -6.644901493296e-02 1.126330689692e-02
3.715042376445e-02 -1.213111532587e-02 1.783341306422e-01
-1.630586667280e-01 8.305224842602e-02 7.134593557067e-03
-1.133898580367e-02 -1.269153071627e-02 2.339455425181e-02
-1.062515664278e-02 1.052907233430e-01 1.497629287752e-02
6
39 1.170000000000e+00
-2.751978044720e-02 1.685998424665e-02 9.046426181132e-02
-1.462691402711e-02 -6.819449486467e-02 6.639229199586e-03
3.590991258045e-02 -1.141882514865e-02 1.725196267559e-01
-1.567650719303e-01 7.989173711301e-02 6.612990736879e-03
-1.110189408144e-02 -1.287931868270e-02 2.275109859740e-02
-1.036016905385e-02 1.047604996717e-01 1.431339229475e-02
6
40 1.200000000000e+00
-2.154815139852e-02 1.372041725331e-02 8.159775895503e-02
-1.338050248492e-02 -6.986585681541e-02 2.248025299865e-03
3.470516887316e-02 -1.072239123937e-02 1.668177959533e-01
-1.506027353854e-01 7.679723834725e-02 6.082314577272e-03
-1.084783321129e-02 -1.305190641122e-02 2.210257968426e-02
-1.009533367706e-02 1.042180462668e-01 1.366890128035e-02
6
41 1.230000000000e+00
-1.554035632356e-02 1.055779250618e-02 7.261871413327e-02
-1.216138365122e-02 -7.146165562483e-02 -1.906943367721e-03
3.353772825876e-02 -1.004231473326e-02 1.612381307332e-01
-1.445788723708e-01 7.377244127965e-02 5.543663880241e-03
-1.057810044003e-02 -1.320990439283e-02 2.145046270535e-02
-9.830921179176e-03 1.036649274557e-01 1.304260509568e-02
6
42 1.260000000000e+00
-9.511487936873e-03 7.381596669694e-03 6.355153559904e-02
-1.097119054928e-02 -7.298021566487e-02 -5.822087136272e-03
3.240876961142e-02 -9.378989191005e-03 1.557885136002e-01
-1.386992276968e-01 7.082027449033e-02 4.998058300873e-03
-1.029394540994e-02 -1.335395919376e-02 2.079607346250e-02
-9.567180228351e-03 1.031026287056e-01 1.243424149081e-02
6
43 1.290000000000e+00
-3.470988236080e-03 4.198904149822e-03 5.441378594548e-02
-9.811278829529e-03 -7.442000566624e-02 -9.494453350433e-03
3.131913449329e-02 -8.732663387228e-03 1.504752441597e-01
